,Date,Year,Type,Country,Area,Location,Activity,Injury,Fatal,Time,Species,address,Latitude,Longitude
2116,1950 - 1951,1950.0,Unprovoked,LIBERIA,Montserrado,Monrovia,other,fatal,Yes,,,"Monrovia,Montserrado,LIBERIA",6.328034,-10.797788
2117,1950,1950.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",other,arm bitten,No,,,"Jacksonville Beach, Duval County,Florida,USA",30.2946859,-81.3931396
2118,Summer 1950,1950.0,Unprovoked,GREECE,,"Piraeus, Athens",swimming,fatal,Yes,,,"Piraeus, Athens,nan,GREECE",38.0030592,23.741122
2119,Ca. 1950,1950.0,Unprovoked,FIJI,,Near Lautoka,other,survived,No,,,"Near Lautoka,nan,FIJI",-17.6043956,177.4530138
2120,Dec-1949,1949.0,Unprovoked,AUSTRALIA,Victoria,Seaholme,other,"no injury,     shark landed on top of him, knocked him back down 3 times",No,,"grey nurse shark, 2.6 m [8.5']","Seaholme,Victoria,AUSTRALIA",-37.8677992,144.8410816
2121,16-Aug-1949,1949.0,Unprovoked,AUSTRALIA,Tasmania,Flinders Island,swimming,hip lacerated,No,16h00,,"Flinders Island,Tasmania,AUSTRALIA",-39.9967743,148.08943695264355
2122,Reported 10-Aug-1949,1949.0,Unprovoked,ITALY,Calabria,Cosenza,swimming,right hand severed,No,,,"Cosenza,Calabria,ITALY",39.5966853,16.333055599019605
2123,16-May-1949,1949.0,Unprovoked,AUSTRALIA,Western Australia,Broome,other,"left arm severed above elbow, recovered 5 days afterwards from sharks gut",No,,"whaler shark, 2.7 m [9'], 350- to 450-lb  identified by g.p. whitley","Broome,Western Australia,AUSTRALIA",-17.9566909,122.2240181
2124,Mar-1949 or Apr-1949,1949.0,Boating,AUSTRALIA,South Australia,18 miles south of Port Augusta,other,,No,,,"18 miles south of Port Augusta,South Australia,AUSTRALIA",-32.5082936,137.7754583
2125,23-Jan-1949,1949.0,Unprovoked,AUSTRALIA,New South Wales,"Bar Beach, Newcastle ",fishing,fatal,Yes,15h00,"white shark, 3.6 m [11'9""]","Bar Beach, Newcastle ,New South Wales,AUSTRALIA",-32.938888,151.7683089
2126,13-Jan-1949,1949.0,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale, near Sydney",skiing,"no injury, shark bumped ski",No,,,"Mona Vale, near Sydney,New South Wales,AUSTRALIA",-33.6769931,151.3029577
2127,27-Dec-1948,1948.0,Unprovoked,AUSTRALIA,Western Australia,Lancelin Island,swimming,"fatal, disappeared while swimming",Yes,,his hand was found in a 2.4 m [8'] tiger shark caught 1/5/1949,"Lancelin Island,Western Australia,AUSTRALIA",-31.00633695,115.31650911324236
2128,26-Dec-1948,1948.0,Unprovoked,AUSTRALIA,Queensland,"Kings Beach, Caloundra",other,"fatal, left hand severed, left leg arm bitten, tissue removed hip to knee",Yes,11h30,,"Kings Beach, Caloundra,Queensland,AUSTRALIA",-26.80463215,153.1408585072595
2129,22-Sep-1948,1948.0,Unprovoked,GREECE,Attica,Keratsini ,swimming,fatal,Yes,16h00,said to be 6.4 m [21'] shark,"Keratsini ,Attica,GREECE",37.9650175,23.6207952
2130,12-Feb-1948,1948.0,Unprovoked,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",swimming,"fatal, right thigh & leg bitten",Yes,,3.7 m [12'] shark,"Stockton Beach, Newcastle,New South Wales,AUSTRALIA",-32.844154849999995,151.86571447066012
2131,25-Jan-1948,1948.0,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale, near Sydney",skiing,"no injury, ski bitten",No,,6' shark,"Mona Vale, near Sydney,New South Wales,AUSTRALIA",-33.6769931,151.3029577
